,State,Year,Quater,Disrict,Reg_users
43328,south district,2021,2,south district,35900
43329,west district,2021,2,west district,22352
43330,east district,2021,2,east district,99077
43331,north district,2021,2,north district,14411
43332,south district,2021,2,south district,35900
43333,west district,2021,2,west district,22352
43334,east district,2021,2,east district,99077
43335,north district,2021,2,north district,14411
43336,south district,2021,2,south district,35900
43337,west district,2021,2,west district,22352
43338,east district,2021,2,east district,99077
43339,north district,2021,2,north district,14411
43340,south district,2021,2,south district,35900
43341,west district,2021,2,west district,22352
43342,east district,2021,2,east district,99077
43343,north district,2021,2,north district,14411
43344,south district,2021,3,south district,38616
43345,west district,2021,3,west district,24132
43346,east district,2021,3,east district,106352
43347,north district,2021,3,north district,15593
43348,south district,2021,3,south district,38616
43349,west district,2021,3,west district,24132
43350,east district,2021,3,east district,106352
43351,north district,2021,3,north district,15593
43352,south district,2021,3,south district,38616
43353,west district,2021,3,west district,24132
43354,east district,2021,3,east district,106352
43355,north district,2021,3,north district,15593
43356,south district,2021,3,south district,38616
43357,west district,2021,3,west district,24132
43358,east district,2021,3,east district,106352
43359,north district,2021,3,north district,15593
43360,south district,2021,4,south district,41311
43361,west district,2021,4,west district,25834
43362,east district,2021,4,east district,113537
43363,north district,2021,4,north district,16725
43364,south district,2021,4,south district,41311
43365,west district,2021,4,west district,25834
43366,east district,2021,4,east district,113537
43367,north district,2021,4,north district,16725
43368,south district,2021,4,south district,41311
43369,west district,2021,4,west district,25834
43370,east district,2021,4,east district,113537
43371,north district,2021,4,north district,16725
43372,south district,2021,4,south district,41311
43373,west district,2021,4,west district,25834
43374,east district,2021,4,east district,113537
43375,north district,2021,4,north district,16725
43376,south district,2022,1,south district,43881
43377,west district,2022,1,west district,27594
43378,east district,2022,1,east district,120360
43379,north district,2022,1,north district,17781
43380,south district,2022,1,south district,43881
43381,west district,2022,1,west district,27594
43382,east district,2022,1,east district,120360
43383,north district,2022,1,north district,17781
43384,south district,2022,1,south district,43881
43385,west district,2022,1,west district,27594
43386,east district,2022,1,east district,120360
43387,north district,2022,1,north district,17781
43388,south district,2022,1,south district,43881
43389,west district,2022,1,west district,27594
43390,east district,2022,1,east district,120360
43391,north district,2022,1,north district,17781
43392,south district,2022,2,south district,46351
43393,west district,2022,2,west district,29184
43394,east district,2022,2,east district,126666
43395,north district,2022,2,north district,18793
43396,south district,2022,2,south district,46351
43397,west district,2022,2,west district,29184
43398,east district,2022,2,east district,126666
43399,north district,2022,2,north district,18793
43400,south district,2022,2,south district,46351
43401,west district,2022,2,west district,29184
43402,east district,2022,2,east district,126666
43403,north district,2022,2,north district,18793
43404,south district,2022,2,south district,46351
43405,west district,2022,2,west district,29184
43406,east district,2022,2,east district,126666
43407,north district,2022,2,north district,18793
43408,south district,2022,3,south district,48673
43409,west district,2022,3,west district,30513
43410,east district,2022,3,east district,133152
43411,north district,2022,3,north district,19687
43412,south district,2022,3,south district,48673
43413,west district,2022,3,west district,30513
43414,east district,2022,3,east district,133152
43415,north district,2022,3,north district,19687
43416,south district,2022,3,south district,48673
43417,west district,2022,3,west district,30513
43418,east district,2022,3,east district,133152
43419,north district,2022,3,north district,19687
43420,south district,2022,3,south district,48673
43421,west district,2022,3,west district,30513
43422,east district,2022,3,east district,133152
43423,north district,2022,3,north district,19687
43424,south district,2022,4,south district,50716
43425,west district,2022,4,west district,31605
43426,east district,2022,4,east district,139175
43427,north district,2022,4,north district,20472
43428,south district,2022,4,south district,50716
43429,west district,2022,4,west district,31605
43430,east district,2022,4,east district,139175
43431,north district,2022,4,north district,20472
43432,south district,2022,4,south district,50716
43433,west district,2022,4,west district,31605
43434,east district,2022,4,east district,139175
43435,north district,2022,4,north district,20472
43436,south district,2022,4,south district,50716
43437,west district,2022,4,west district,31605
43438,east district,2022,4,east district,139175
43439,north district,2022,4,north district,20472
43440,tiruchirappalli district,2018,1,tiruchirappalli district,62230
43441,ramanathapuram district,2018,1,ramanathapuram district,14636
43442,krishnagiri district,2018,1,krishnagiri district,66958
43443,cuddalore district,2018,1,cuddalore district,43486
43444,kancheepuram district,2018,1,kancheepuram district,136352
43445,tiruppur district,2018,1,tiruppur district,87652
43446,dharmapuri district,2018,1,dharmapuri district,33682
43447,thoothukkudi district,2018,1,thoothukkudi district,25509
43448,thanjavur district,2018,1,thanjavur district,36258
43449,madurai district,2018,1,madurai district,72582
43450,tiruvannamalai district,2018,1,tiruvannamalai district,40279
43451,salem district,2018,1,salem district,88288
43452,nagapattinam district,2018,1,nagapattinam district,15626
43453,tirupathur district,2018,1,tirupathur district,25242
43454,ariyalur district,2018,1,ariyalur district,9211
43455,chennai district,2018,1,chennai district,292004
43456,the nilgiris district,2018,1,the nilgiris district,13351
43457,erode district,2018,1,erode district,53761
43458,karur district,2018,1,karur district,19098
43459,kallakkurichi district,2018,1,kallakkurichi district,20750
43460,viluppuram district,2018,1,viluppuram district,31546
43461,pudukkottai district,2018,1,pudukkottai district,16067
43462,perambalur district,2018,1,perambalur district,8476
43463,coimbatore district,2018,1,coimbatore district,170306
43464,virudhunagar district,2018,1,virudhunagar district,27079
43465,dindigul district,2018,1,dindigul district,34025
43466,sivaganga district,2018,1,sivaganga district,16919
43467,tenkasi district,2018,1,tenkasi district,15000
43468,chengalpattu district,2018,1,chengalpattu district,215210
43469,kanniyakumari district,2018,1,kanniyakumari district,28347
43470,tirunelveli district,2018,1,tirunelveli district,28006
43471,thiruvallur district,2018,1,thiruvallur district,215622
43472,theni district,2018,1,theni district,18253
43473,ranipet district,2018,1,ranipet district,31107
43474,namakkal district,2018,1,namakkal district,38529
43475,vellore district,2018,1,vellore district,42137
43476,thiruvarur district,2018,1,thiruvarur district,11170
43477,tiruchirappalli district,2018,1,tiruchirappalli district,62230
43478,ramanathapuram district,2018,1,ramanathapuram district,14636
43479,krishnagiri district,2018,1,krishnagiri district,66958
43480,cuddalore district,2018,1,cuddalore district,43486
43481,kancheepuram district,2018,1,kancheepuram district,136352
43482,tiruppur district,2018,1,tiruppur district,87652
43483,dharmapuri district,2018,1,dharmapuri district,33682
43484,thoothukkudi district,2018,1,thoothukkudi district,25509
43485,thanjavur district,2018,1,thanjavur district,36258
43486,madurai district,2018,1,madurai district,72582
43487,tiruvannamalai district,2018,1,tiruvannamalai district,40279
43488,salem district,2018,1,salem district,88288
43489,nagapattinam district,2018,1,nagapattinam district,15626
43490,tirupathur district,2018,1,tirupathur district,25242
43491,ariyalur district,2018,1,ariyalur district,9211
43492,chennai district,2018,1,chennai district,292004
43493,the nilgiris district,2018,1,the nilgiris district,13351
43494,erode district,2018,1,erode district,53761
43495,karur district,2018,1,karur district,19098
43496,kallakkurichi district,2018,1,kallakkurichi district,20750
43497,viluppuram district,2018,1,viluppuram district,31546
43498,pudukkottai district,2018,1,pudukkottai district,16067
43499,perambalur district,2018,1,perambalur district,8476
43500,coimbatore district,2018,1,coimbatore district,170306
43501,virudhunagar district,2018,1,virudhunagar district,27079
43502,dindigul district,2018,1,dindigul district,34025
43503,sivaganga district,2018,1,sivaganga district,16919
43504,tenkasi district,2018,1,tenkasi district,15000
43505,chengalpattu district,2018,1,chengalpattu district,215210
43506,kanniyakumari district,2018,1,kanniyakumari district,28347
43507,tirunelveli district,2018,1,tirunelveli district,28006
43508,thiruvallur district,2018,1,thiruvallur district,215622
43509,theni district,2018,1,theni district,18253
43510,ranipet district,2018,1,ranipet district,31107
43511,namakkal district,2018,1,namakkal district,38529
43512,vellore district,2018,1,vellore district,42137
43513,thiruvarur district,2018,1,thiruvarur district,11170
43514,tiruchirappalli district,2018,1,tiruchirappalli district,62230
43515,ramanathapuram district,2018,1,ramanathapuram district,14636
43516,krishnagiri district,2018,1,krishnagiri district,66958
43517,cuddalore district,2018,1,cuddalore district,43486
43518,kancheepuram district,2018,1,kancheepuram district,136352
43519,tiruppur district,2018,1,tiruppur district,87652
43520,dharmapuri district,2018,1,dharmapuri district,33682
43521,thoothukkudi district,2018,1,thoothukkudi district,25509
43522,thanjavur district,2018,1,thanjavur district,36258
43523,madurai district,2018,1,madurai district,72582
43524,tiruvannamalai district,2018,1,tiruvannamalai district,40279
43525,salem district,2018,1,salem district,88288
43526,nagapattinam district,2018,1,nagapattinam district,15626
43527,tirupathur district,2018,1,tirupathur district,25242
43528,ariyalur district,2018,1,ariyalur district,9211
43529,chennai district,2018,1,chennai district,292004
43530,the nilgiris district,2018,1,the nilgiris district,13351
43531,erode district,2018,1,erode district,53761
43532,karur district,2018,1,karur district,19098
43533,kallakkurichi district,2018,1,kallakkurichi district,20750
43534,viluppuram district,2018,1,viluppuram district,31546
43535,pudukkottai district,2018,1,pudukkottai district,16067
43536,perambalur district,2018,1,perambalur district,8476
43537,coimbatore district,2018,1,coimbatore district,170306
43538,virudhunagar district,2018,1,virudhunagar district,27079
43539,dindigul district,2018,1,dindigul district,34025
43540,sivaganga district,2018,1,sivaganga district,16919
43541,tenkasi district,2018,1,tenkasi district,15000
43542,chengalpattu district,2018,1,chengalpattu district,215210
43543,kanniyakumari district,2018,1,kanniyakumari district,28347
43544,tirunelveli district,2018,1,tirunelveli district,28006
43545,thiruvallur district,2018,1,thiruvallur district,215622
43546,theni district,2018,1,theni district,18253
43547,ranipet district,2018,1,ranipet district,31107
43548,namakkal district,2018,1,namakkal district,38529
43549,vellore district,2018,1,vellore district,42137
43550,thiruvarur district,2018,1,thiruvarur district,11170
43551,tiruchirappalli district,2018,1,tiruchirappalli district,62230
43552,ramanathapuram district,2018,1,ramanathapuram district,14636
43553,krishnagiri district,2018,1,krishnagiri district,66958
43554,cuddalore district,2018,1,cuddalore district,43486
43555,kancheepuram district,2018,1,kancheepuram district,136352
43556,tiruppur district,2018,1,tiruppur district,87652
43557,dharmapuri district,2018,1,dharmapuri district,33682
43558,thoothukkudi district,2018,1,thoothukkudi district,25509
43559,thanjavur district,2018,1,thanjavur district,36258
43560,madurai district,2018,1,madurai district,72582
43561,tiruvannamalai district,2018,1,tiruvannamalai district,40279
43562,salem district,2018,1,salem district,88288
43563,nagapattinam district,2018,1,nagapattinam district,15626
43564,tirupathur district,2018,1,tirupathur district,25242
43565,ariyalur district,2018,1,ariyalur district,9211
43566,chennai district,2018,1,chennai district,292004
43567,the nilgiris district,2018,1,the nilgiris district,13351
43568,erode district,2018,1,erode district,53761
43569,karur district,2018,1,karur district,19098
43570,kallakkurichi district,2018,1,kallakkurichi district,20750
43571,viluppuram district,2018,1,viluppuram district,31546
43572,pudukkottai district,2018,1,pudukkottai district,16067
43573,perambalur district,2018,1,perambalur district,8476
43574,coimbatore district,2018,1,coimbatore district,170306
43575,virudhunagar district,2018,1,virudhunagar district,27079
43576,dindigul district,2018,1,dindigul district,34025
43577,sivaganga district,2018,1,sivaganga district,16919
43578,tenkasi district,2018,1,tenkasi district,15000
43579,chengalpattu district,2018,1,chengalpattu district,215210
43580,kanniyakumari district,2018,1,kanniyakumari district,28347
43581,tirunelveli district,2018,1,tirunelveli district,28006
43582,thiruvallur district,2018,1,thiruvallur district,215622
43583,theni district,2018,1,theni district,18253
43584,ranipet district,2018,1,ranipet district,31107
43585,namakkal district,2018,1,namakkal district,38529
43586,vellore district,2018,1,vellore district,42137
43587,thiruvarur district,2018,1,thiruvarur district,11170
43588,tiruchirappalli district,2018,2,tiruchirappalli district,91156
43589,ramanathapuram district,2018,2,ramanathapuram district,22157
43590,krishnagiri district,2018,2,krishnagiri district,96842
43591,cuddalore district,2018,2,cuddalore district,63447
43592,kancheepuram district,2018,2,kancheepuram district,188583
43593,tiruppur district,2018,2,tiruppur district,128535
43594,dharmapuri district,2018,2,dharmapuri district,49703
43595,thoothukkudi district,2018,2,thoothukkudi district,38026
43596,thanjavur district,2018,2,thanjavur district,53239
43597,madurai district,2018,2,madurai district,105957
43598,tiruvannamalai district,2018,2,tiruvannamalai district,58386
43599,salem district,2018,2,salem district,126830
43600,nagapattinam district,2018,2,nagapattinam district,23371
43601,tirupathur district,2018,2,tirupathur district,36233
43602,ariyalur district,2018,2,ariyalur district,14083
43603,chennai district,2018,2,chennai district,401349
43604,the nilgiris district,2018,2,the nilgiris district,19063
43605,erode district,2018,2,erode district,77385
43606,karur district,2018,2,karur district,27639
43607,kallakkurichi district,2018,2,kallakkurichi district,30936
43608,viluppuram district,2018,2,viluppuram district,45050
43609,pudukkottai district,2018,2,pudukkottai district,24385
43610,perambalur district,2018,2,perambalur district,12343
43611,coimbatore district,2018,2,coimbatore district,244374
43612,virudhunagar district,2018,2,virudhunagar district,40179
43613,dindigul district,2018,2,dindigul district,50731
43614,sivaganga district,2018,2,sivaganga district,25789
43615,tenkasi district,2018,2,tenkasi district,22686
43616,chengalpattu district,2018,2,chengalpattu district,292432
43617,kanniyakumari district,2018,2,kanniyakumari district,41038
43618,tirunelveli district,2018,2,tirunelveli district,40760
43619,thiruvallur district,2018,2,thiruvallur district,300210
43620,theni district,2018,2,theni district,27112
43621,ranipet district,2018,2,ranipet district,43481
43622,namakkal district,2018,2,namakkal district,55375
43623,vellore district,2018,2,vellore district,60166
43624,thiruvarur district,2018,2,thiruvarur district,17005
43625,tiruchirappalli district,2018,2,tiruchirappalli district,91156
43626,ramanathapuram district,2018,2,ramanathapuram district,22157
43627,krishnagiri district,2018,2,krishnagiri district,96842
43628,cuddalore district,2018,2,cuddalore district,63447
43629,kancheepuram district,2018,2,kancheepuram district,188583
43630,tiruppur district,2018,2,tiruppur district,128535
43631,dharmapuri district,2018,2,dharmapuri district,49703
43632,thoothukkudi district,2018,2,thoothukkudi district,38026
43633,thanjavur district,2018,2,thanjavur district,53239
43634,madurai district,2018,2,madurai district,105957
43635,tiruvannamalai district,2018,2,tiruvannamalai district,58386
43636,salem district,2018,2,salem district,126830
43637,nagapattinam district,2018,2,nagapattinam district,23371
43638,tirupathur district,2018,2,tirupathur district,36233
43639,ariyalur district,2018,2,ariyalur district,14083
43640,chennai district,2018,2,chennai district,401349
43641,the nilgiris district,2018,2,the nilgiris district,19063
43642,erode district,2018,2,erode district,77385
43643,karur district,2018,2,karur district,27639
43644,kallakkurichi district,2018,2,kallakkurichi district,30936
43645,viluppuram district,2018,2,viluppuram district,45050
43646,pudukkottai district,2018,2,pudukkottai district,24385
43647,perambalur district,2018,2,perambalur district,12343
43648,coimbatore district,2018,2,coimbatore district,244374
43649,virudhunagar district,2018,2,virudhunagar district,40179
43650,dindigul district,2018,2,dindigul district,50731
43651,sivaganga district,2018,2,sivaganga district,25789
43652,tenkasi district,2018,2,tenkasi district,22686
43653,chengalpattu district,2018,2,chengalpattu district,292432
43654,kanniyakumari district,2018,2,kanniyakumari district,41038
43655,tirunelveli district,2018,2,tirunelveli district,40760
43656,thiruvallur district,2018,2,thiruvallur district,300210
43657,theni district,2018,2,theni district,27112
43658,ranipet district,2018,2,ranipet district,43481
43659,namakkal district,2018,2,namakkal district,55375
43660,vellore district,2018,2,vellore district,60166
43661,thiruvarur district,2018,2,thiruvarur district,17005
43662,tiruchirappalli district,2018,2,tiruchirappalli district,91156
43663,ramanathapuram district,2018,2,ramanathapuram district,22157
43664,krishnagiri district,2018,2,krishnagiri district,96842
43665,cuddalore district,2018,2,cuddalore district,63447
43666,kancheepuram district,2018,2,kancheepuram district,188583
43667,tiruppur district,2018,2,tiruppur district,128535
43668,dharmapuri district,2018,2,dharmapuri district,49703
43669,thoothukkudi district,2018,2,thoothukkudi district,38026
43670,thanjavur district,2018,2,thanjavur district,53239
43671,madurai district,2018,2,madurai district,105957
43672,tiruvannamalai district,2018,2,tiruvannamalai district,58386
43673,salem district,2018,2,salem district,126830
43674,nagapattinam district,2018,2,nagapattinam district,23371
43675,tirupathur district,2018,2,tirupathur district,36233
43676,ariyalur district,2018,2,ariyalur district,14083
43677,chennai district,2018,2,chennai district,401349
43678,the nilgiris district,2018,2,the nilgiris district,19063
43679,erode district,2018,2,erode district,77385
43680,karur district,2018,2,karur district,27639
43681,kallakkurichi district,2018,2,kallakkurichi district,30936
43682,viluppuram district,2018,2,viluppuram district,45050
43683,pudukkottai district,2018,2,pudukkottai district,24385
43684,perambalur district,2018,2,perambalur district,12343
43685,coimbatore district,2018,2,coimbatore district,244374
43686,virudhunagar district,2018,2,virudhunagar district,40179
43687,dindigul district,2018,2,dindigul district,50731
43688,sivaganga district,2018,2,sivaganga district,25789
43689,tenkasi district,2018,2,tenkasi district,22686
43690,chengalpattu district,2018,2,chengalpattu district,292432
43691,kanniyakumari district,2018,2,kanniyakumari district,41038
43692,tirunelveli district,2018,2,tirunelveli district,40760
43693,thiruvallur district,2018,2,thiruvallur district,300210
43694,theni district,2018,2,theni district,27112
43695,ranipet district,2018,2,ranipet district,43481
43696,namakkal district,2018,2,namakkal district,55375
43697,vellore district,2018,2,vellore district,60166
43698,thiruvarur district,2018,2,thiruvarur district,17005
43699,tiruchirappalli district,2018,2,tiruchirappalli district,91156
43700,ramanathapuram district,2018,2,ramanathapuram district,22157
43701,krishnagiri district,2018,2,krishnagiri district,96842
43702,cuddalore district,2018,2,cuddalore district,63447
43703,kancheepuram district,2018,2,kancheepuram district,188583
43704,tiruppur district,2018,2,tiruppur district,128535
43705,dharmapuri district,2018,2,dharmapuri district,49703
43706,thoothukkudi district,2018,2,thoothukkudi district,38026
43707,thanjavur district,2018,2,thanjavur district,53239
43708,madurai district,2018,2,madurai district,105957
43709,tiruvannamalai district,2018,2,tiruvannamalai district,58386
43710,salem district,2018,2,salem district,126830
43711,nagapattinam district,2018,2,nagapattinam district,23371
43712,tirupathur district,2018,2,tirupathur district,36233
43713,ariyalur district,2018,2,ariyalur district,14083
43714,chennai district,2018,2,chennai district,401349
43715,the nilgiris district,2018,2,the nilgiris district,19063
43716,erode district,2018,2,erode district,77385
43717,karur district,2018,2,karur district,27639
43718,kallakkurichi district,2018,2,kallakkurichi district,30936
43719,viluppuram district,2018,2,viluppuram district,45050
43720,pudukkottai district,2018,2,pudukkottai district,24385
43721,perambalur district,2018,2,perambalur district,12343
43722,coimbatore district,2018,2,coimbatore district,244374
43723,virudhunagar district,2018,2,virudhunagar district,40179
43724,dindigul district,2018,2,dindigul district,50731
43725,sivaganga district,2018,2,sivaganga district,25789
43726,tenkasi district,2018,2,tenkasi district,22686
43727,chengalpattu district,2018,2,chengalpattu district,292432
43728,kanniyakumari district,2018,2,kanniyakumari district,41038
43729,tirunelveli district,2018,2,tirunelveli district,40760
43730,thiruvallur district,2018,2,thiruvallur district,300210
43731,theni district,2018,2,theni district,27112
43732,ranipet district,2018,2,ranipet district,43481
43733,namakkal district,2018,2,namakkal district,55375
43734,vellore district,2018,2,vellore district,60166
43735,thiruvarur district,2018,2,thiruvarur district,17005
43736,tiruchirappalli district,2018,3,tiruchirappalli district,119661
43737,ramanathapuram district,2018,3,ramanathapuram district,29985
43738,krishnagiri district,2018,3,krishnagiri district,128769
43739,cuddalore district,2018,3,cuddalore district,84632
43740,kancheepuram district,2018,3,kancheepuram district,239985
43741,tiruppur district,2018,3,tiruppur district,172195
43742,dharmapuri district,2018,3,dharmapuri district,67318
43743,thoothukkudi district,2018,3,thoothukkudi district,50858
43744,thanjavur district,2018,3,thanjavur district,70116
43745,madurai district,2018,3,madurai district,138064
43746,tiruvannamalai district,2018,3,tiruvannamalai district,77186
43747,salem district,2018,3,salem district,164489
43748,nagapattinam district,2018,3,nagapattinam district,32391
43749,tirupathur district,2018,3,tirupathur district,47975
43750,ariyalur district,2018,3,ariyalur district,19441
43751,chennai district,2018,3,chennai district,511138
43752,the nilgiris district,2018,3,the nilgiris district,25275
43753,erode district,2018,3,erode district,101492
43754,karur district,2018,3,karur district,36648
43755,kallakkurichi district,2018,3,kallakkurichi district,42462
43756,viluppuram district,2018,3,viluppuram district,59484
43757,pudukkottai district,2018,3,pudukkottai district,33467
43758,perambalur district,2018,3,perambalur district,16465
43759,coimbatore district,2018,3,coimbatore district,318461
43760,virudhunagar district,2018,3,virudhunagar district,53656
43761,dindigul district,2018,3,dindigul district,68304
43762,sivaganga district,2018,3,sivaganga district,34866
43763,tenkasi district,2018,3,tenkasi district,30847
43764,chengalpattu district,2018,3,chengalpattu district,368413
43765,kanniyakumari district,2018,3,kanniyakumari district,54637
43766,tirunelveli district,2018,3,tirunelveli district,54056
43767,thiruvallur district,2018,3,thiruvallur district,381620
43768,theni district,2018,3,theni district,36969
43769,ranipet district,2018,3,ranipet district,55677
43770,namakkal district,2018,3,namakkal district,72500
43771,vellore district,2018,3,vellore district,77325
43772,thiruvarur district,2018,3,thiruvarur district,23350
43773,tiruchirappalli district,2018,3,tiruchirappalli district,119661
43774,ramanathapuram district,2018,3,ramanathapuram district,29985
43775,krishnagiri district,2018,3,krishnagiri district,128769
43776,cuddalore district,2018,3,cuddalore district,84632
43777,kancheepuram district,2018,3,kancheepuram district,239985
43778,tiruppur district,2018,3,tiruppur district,172195
43779,dharmapuri district,2018,3,dharmapuri district,67318
43780,thoothukkudi district,2018,3,thoothukkudi district,50858
43781,thanjavur district,2018,3,thanjavur district,70116
43782,madurai district,2018,3,madurai district,138064
43783,tiruvannamalai district,2018,3,tiruvannamalai district,77186
43784,salem district,2018,3,salem district,164489
43785,nagapattinam district,2018,3,nagapattinam district,32391
43786,tirupathur district,2018,3,tirupathur district,47975
43787,ariyalur district,2018,3,ariyalur district,19441
43788,chennai district,2018,3,chennai district,511138
43789,the nilgiris district,2018,3,the nilgiris district,25275
43790,erode district,2018,3,erode district,101492
43791,karur district,2018,3,karur district,36648
43792,kallakkurichi district,2018,3,kallakkurichi district,42462
43793,viluppuram district,2018,3,viluppuram district,59484
43794,pudukkottai district,2018,3,pudukkottai district,33467
43795,perambalur district,2018,3,perambalur district,16465
43796,coimbatore district,2018,3,coimbatore district,318461
43797,virudhunagar district,2018,3,virudhunagar district,53656
43798,dindigul district,2018,3,dindigul district,68304
43799,sivaganga district,2018,3,sivaganga district,34866
43800,tenkasi district,2018,3,tenkasi district,30847
43801,chengalpattu district,2018,3,chengalpattu district,368413
43802,kanniyakumari district,2018,3,kanniyakumari district,54637
43803,tirunelveli district,2018,3,tirunelveli district,54056
43804,thiruvallur district,2018,3,thiruvallur district,381620
43805,theni district,2018,3,theni district,36969
43806,ranipet district,2018,3,ranipet district,55677
43807,namakkal district,2018,3,namakkal district,72500
43808,vellore district,2018,3,vellore district,77325
43809,thiruvarur district,2018,3,thiruvarur district,23350
43810,tiruchirappalli district,2018,3,tiruchirappalli district,119661
43811,ramanathapuram district,2018,3,ramanathapuram district,29985
43812,krishnagiri district,2018,3,krishnagiri district,128769
43813,cuddalore district,2018,3,cuddalore district,84632
43814,kancheepuram district,2018,3,kancheepuram district,239985
43815,tiruppur district,2018,3,tiruppur district,172195
43816,dharmapuri district,2018,3,dharmapuri district,67318
43817,thoothukkudi district,2018,3,thoothukkudi district,50858
43818,thanjavur district,2018,3,thanjavur district,70116
43819,madurai district,2018,3,madurai district,138064
43820,tiruvannamalai district,2018,3,tiruvannamalai district,77186
43821,salem district,2018,3,salem district,164489
43822,nagapattinam district,2018,3,nagapattinam district,32391
43823,tirupathur district,2018,3,tirupathur district,47975
43824,ariyalur district,2018,3,ariyalur district,19441
43825,chennai district,2018,3,chennai district,511138
43826,the nilgiris district,2018,3,the nilgiris district,25275
43827,erode district,2018,3,erode district,101492
43828,karur district,2018,3,karur district,36648
43829,kallakkurichi district,2018,3,kallakkurichi district,42462
43830,viluppuram district,2018,3,viluppuram district,59484
43831,pudukkottai district,2018,3,pudukkottai district,33467
43832,perambalur district,2018,3,perambalur district,16465
43833,coimbatore district,2018,3,coimbatore district,318461
43834,virudhunagar district,2018,3,virudhunagar district,53656
43835,dindigul district,2018,3,dindigul district,68304
43836,sivaganga district,2018,3,sivaganga district,34866
43837,tenkasi district,2018,3,tenkasi district,30847
43838,chengalpattu district,2018,3,chengalpattu district,368413
43839,kanniyakumari district,2018,3,kanniyakumari district,54637
43840,tirunelveli district,2018,3,tirunelveli district,54056
43841,thiruvallur district,2018,3,thiruvallur district,381620
43842,theni district,2018,3,theni district,36969
43843,ranipet district,2018,3,ranipet district,55677
43844,namakkal district,2018,3,namakkal district,72500
43845,vellore district,2018,3,vellore district,77325
43846,thiruvarur district,2018,3,thiruvarur district,23350
43847,tiruchirappalli district,2018,3,tiruchirappalli district,119661
43848,ramanathapuram district,2018,3,ramanathapuram district,29985
43849,krishnagiri district,2018,3,krishnagiri district,128769
43850,cuddalore district,2018,3,cuddalore district,84632
43851,kancheepuram district,2018,3,kancheepuram district,239985
43852,tiruppur district,2018,3,tiruppur district,172195
43853,dharmapuri district,2018,3,dharmapuri district,67318
43854,thoothukkudi district,2018,3,thoothukkudi district,50858
43855,thanjavur district,2018,3,thanjavur district,70116
43856,madurai district,2018,3,madurai district,138064
43857,tiruvannamalai district,2018,3,tiruvannamalai district,77186
43858,salem district,2018,3,salem district,164489
43859,nagapattinam district,2018,3,nagapattinam district,32391
43860,tirupathur district,2018,3,tirupathur district,47975
43861,ariyalur district,2018,3,ariyalur district,19441
43862,chennai district,2018,3,chennai district,511138
43863,the nilgiris district,2018,3,the nilgiris district,25275
43864,erode district,2018,3,erode district,101492
43865,karur district,2018,3,karur district,36648
43866,kallakkurichi district,2018,3,kallakkurichi district,42462
43867,viluppuram district,2018,3,viluppuram district,59484
43868,pudukkottai district,2018,3,pudukkottai district,33467
43869,perambalur district,2018,3,perambalur district,16465
43870,coimbatore district,2018,3,coimbatore district,318461
43871,virudhunagar district,2018,3,virudhunagar district,53656
43872,dindigul district,2018,3,dindigul district,68304
43873,sivaganga district,2018,3,sivaganga district,34866
43874,tenkasi district,2018,3,tenkasi district,30847
43875,chengalpattu district,2018,3,chengalpattu district,368413
43876,kanniyakumari district,2018,3,kanniyakumari district,54637
43877,tirunelveli district,2018,3,tirunelveli district,54056
43878,thiruvallur district,2018,3,thiruvallur district,381620
43879,theni district,2018,3,theni district,36969
43880,ranipet district,2018,3,ranipet district,55677
43881,namakkal district,2018,3,namakkal district,72500
43882,vellore district,2018,3,vellore district,77325
43883,thiruvarur district,2018,3,thiruvarur district,23350
43884,tiruchirappalli district,2018,4,tiruchirappalli district,160006
43885,ramanathapuram district,2018,4,ramanathapuram district,40421
43886,krishnagiri district,2018,4,krishnagiri district,172743
43887,cuddalore district,2018,4,cuddalore district,114395
43888,kancheepuram district,2018,4,kancheepuram district,318007
43889,tiruppur district,2018,4,tiruppur district,227253
43890,dharmapuri district,2018,4,dharmapuri district,91253
43891,thoothukkudi district,2018,4,thoothukkudi district,67862
43892,thanjavur district,2018,4,thanjavur district,93638
43893,madurai district,2018,4,madurai district,183206
43894,tiruvannamalai district,2018,4,tiruvannamalai district,105024
43895,salem district,2018,4,salem district,215365
43896,nagapattinam district,2018,4,nagapattinam district,44023
43897,tirupathur district,2018,4,tirupathur district,65372
43898,ariyalur district,2018,4,ariyalur district,26505
43899,chennai district,2018,4,chennai district,689276
43900,the nilgiris district,2018,4,the nilgiris district,33617
43901,erode district,2018,4,erode district,132294
43902,karur district,2018,4,karur district,48725
43903,kallakkurichi district,2018,4,kallakkurichi district,59098
43904,viluppuram district,2018,4,viluppuram district,81637
43905,pudukkottai district,2018,4,pudukkottai district,44937
43906,perambalur district,2018,4,perambalur district,22429
43907,coimbatore district,2018,4,coimbatore district,415090
43908,virudhunagar district,2018,4,virudhunagar district,71704
43909,dindigul district,2018,4,dindigul district,90832
43910,sivaganga district,2018,4,sivaganga district,47194
43911,tenkasi district,2018,4,tenkasi district,41206
43912,chengalpattu district,2018,4,chengalpattu district,483785
43913,kanniyakumari district,2018,4,kanniyakumari district,72179
43914,tirunelveli district,2018,4,tirunelveli district,70740
43915,thiruvallur district,2018,4,thiruvallur district,514830
43916,theni district,2018,4,theni district,49911
43917,ranipet district,2018,4,ranipet district,75577
43918,namakkal district,2018,4,namakkal district,94773
